4Layer_ConvNet_FER;2;9.98;10.02;1.8877774477005005;0.3105468675494194;1.8327646255493164;0.3270312398672104;1.6361908912658691;0.39625000953674316;81.79943370819092;
baseline_model\Run_6;2;2.87;3.05;[0.14996635913848877, 0.02578118070960045];[0.9346460103988647, 0.9901828765869141];[1.8491524457931519, 2.143078327178955];[0.6953846216201782, 0.7164835333824158];0.5441697835922241;0.8791821599006653;155.45657563209534;
baseline_model\Run_5;6;10.49;10.64;[0.4484637379646301, 0.08029009401798248, 0.045038964599370956, 0.03379693627357483, 0.02666464075446129, 0.018847549334168434];[0.8391411900520325, 0.9729000926017761, 0.9849444627761841, 0.9882065057754517, 0.9914842247962952, 0.9944639801979065];[4.912240028381348, 7.088965892791748, 7.856017589569092, 9.12588882446289, 8.890887260437012, 9.34841537475586];[0.39989158511161804, 0.37025660276412964, 0.35134321451187134, 0.33592337369918823, 0.34959644079208374, 0.34670522809028625];3.59635591506958;0.34126514196395874;953.236274878184;
VGG16\Run_1;4;10.49;10.64;[0.3008532226085663, 0.04197055473923683, 0.02063419111073017, 0.0072935884818434715];[0.8953484892845154, 0.987171471118927, 0.9943228363990784, 0.9981651306152344];[1.9495351314544678, 2.0433502197265625, 2.516941547393799, 2.245863437652588];[0.5664377808570862, 0.538730263710022, 0.5513793230056763, 0.5690880417823792];2.9187326431274414;0.45110371708869934;3294.7168271541595;
medium_model\Run_1;4;10.49;10.64;[0.8696984052658081, 0.38901492953300476, 0.3139278292655945, 0.27538982033729553];[0.7125964760780334, 0.9051502346992493, 0.9332852363586426, 0.9463333487510681];[2.6083974838256836, 2.8462414741516113, 2.995060443878174, 3.2315800189971924];[0.3999518156051636, 0.39814481139183044, 0.43030959367752075, 0.4304300546646118];2.029742479324341;0.41460955142974854;246.77017080783844;
VGG16\Run_2;4;10.64;10.39;[0.29530784487724304, 0.04360919073224068, 0.01732059381902218, 0.009259099140763283];[0.8981348276138306, 0.9861363172531128, 0.9951492547988892, 0.9976841807365417];[2.019465684890747, 2.4978346824645996, 2.4729182720184326, 3.3303730487823486];[0.4604794681072235, 0.44297412037849426, 0.4629717469215393, 0.48160454630851746];1.415730357170105;0.61046302318573;3329.120823264122;
VGG16\Run_3;5;0.52;0.53;[1.903590202331543, 1.6876232624053955, 1.3183960914611816, 1.080066204071045, 0.8582249879837036];[0.24498118460178375, 0.34535759687423706, 0.4896486699581146, 0.6050815582275391, 0.6941656470298767];[1.8534843921661377, 1.6383453607559204, 1.6848124265670776, 1.8426119089126587, 1.8177330493927002];[0.2674698829650879, 0.39518073201179504, 0.3903614580631256, 0.3855421543121338, 0.40722891688346863];1.772475004196167;0.3004750609397888;56.437351894378665;
VGG16_Imagenet\Run_1;11;10.49;10.64;[0.9906827211380005, 0.44467031955718994, 0.3214705288410187, 0.26762235164642334, 0.23122109472751617, 0.2064058482646942, 0.11359480023384094, 0.10167236626148224, 0.09315642714500427, 0.08648008853197098, 0.08054633438587189];[0.639169454574585, 0.8453673124313354, 0.8876011371612549, 0.9073458313941956, 0.9201744198799133, 0.9285176396369934, 0.9629728198051453, 0.9675522446632385, 0.9700771570205688, 0.9722570776939392, 0.9740292429924011];[3.191864490509033, 4.32951545715332, 4.9653730392456055, 5.579794406890869, 5.291810512542725, 5.350197792053223, 5.759365558624268, 6.069157600402832, 6.48388147354126, 6.976132392883301, 7.2722249031066895];[0.3569449484348297, 0.34941571950912476, 0.3574870526790619, 0.37025660276412964, 0.3789904713630676, 0.38278520107269287, 0.39290446043014526, 0.39326587319374084, 0.38609805703163147, 0.3839898705482483, 0.38350799679756165];2.9266433715820312;0.3118324279785156;692.2431212988766;
VGG16_Imagenet\Run_2;11;5.59;5.55;[0.6620720028877258, 0.22443507611751556, 0.14257030189037323, 0.11022520065307617, 0.09341266751289368, 0.07546688616275787, 0.022263171151280403, 0.015019085258245468, 0.011029682122170925, 0.008599109016358852, 0.008015655912458897];[0.7618501782417297, 0.9259136319160461, 0.9515137076377869, 0.9627005457878113, 0.969696044921875, 0.974942684173584, 0.9929742813110352, 0.9955373406410217, 0.9969244003295898, 0.9978289604187012, 0.9976782202720642];[2.58174204826355, 3.499434232711792, 4.385244846343994, 5.025829792022705, 5.115662574768066, 5.404780387878418, 6.783104419708252, 7.9272661209106445, 8.152944564819336, 8.526747703552246, 8.448833465576172];[0.487246036529541, 0.4800225794315338, 0.472686231136322, 0.44537246227264404, 0.44006770849227905, 0.481715589761734, 0.45869073271751404, 0.44029346108436584, 0.45056432485580444, 0.45553046464920044, 0.46862301230430603];2.9549217224121094;0.4438752233982086;1490.914750879461;
baseline_model\Run_6;11;1.11;1.13;[2.4804069995880127, 1.5934468507766724, 1.1755462884902954, 0.9359638690948486, 0.7681597471237183, 0.6480209827423096, 0.49543190002441406, 0.4649997055530548, 0.4448755383491516, 0.4266704320907593, 0.40948304533958435];[0.20132547616958618, 0.46332842111587524, 0.5998527407646179, 0.692341685295105, 0.7488954067230225, 0.7936671376228333, 0.853019118309021, 0.8642120957374573, 0.8720176815986633, 0.8764359354972839, 0.8821796774864197];[2.86152720451355, 3.874319076538086, 4.629727363586426, 5.174740791320801, 5.418080806732178, 5.4829421043396, 5.721743583679199, 5.859344005584717, 5.975868225097656, 6.068717002868652, 6.144932270050049];[0.23582766950130463, 0.21938775479793549, 0.2261904776096344, 0.23185941576957703, 0.22959183156490326, 0.23752833902835846, 0.25736960768699646, 0.2551020383834839, 0.25453513860702515, 0.2568027079105377, 0.25736960768699646];2.5123772621154785;0.1428571492433548;37.51563327962702;
baseline_model\Run_7;11;2.79;2.77;[2.1596567630767822, 1.2638431787490845, 0.817133903503418, 0.5555952191352844, 0.40477895736694336, 0.3147478699684143, 0.20782797038555145, 0.190148264169693, 0.17789588868618011, 0.16455794870853424, 0.15806102752685547];[0.24894464015960693, 0.5589796304702759, 0.7245808839797974, 0.8184175491333008, 0.8669641613960266, 0.8977203965187073, 0.9361355900764465, 0.9436135292053223, 0.9457845687866211, 0.9506090879440308, 0.9537450075149536];[3.0480730533599854, 3.608743190765381, 4.040462017059326, 4.743444442749023, 4.630192756652832, 5.1319427490234375, 5.314133644104004, 5.386517524719238, 5.460803031921387, 5.63827657699585, 5.762058258056641];[0.2600451409816742, 0.252821683883667, 0.2559819519519806, 0.2629796862602234, 0.2699774205684662, 0.261173814535141, 0.2638826072216034, 0.269525945186615, 0.267720103263855, 0.2641083598136902, 0.266139954328537];2.333141565322876;0.22654826939105988;68.05214496092363;
