Folder,Name,WINSIZE,PYR_SCALE,POLY_SIGMA,POLY_N,LEVELS,ITERATIONS,FLAGS,Time,Note,Good
Run_13,01-01-07-02-01-01-03,15,0.5,1.5,7,3,10,0,2.4993279000000257,skip,0
Run_14,01-01-07-02-01-01-03,10,0.5,1.5,7,5,5,0,2.668646699999954,skip,0
Run_15,01-01-07-02-01-01-03,10,0.3,1.5,5,5,10,0,2.7804489000000103,skip,0
Run_16,01-01-07-02-01-01-03,15,0.9,1.5,5,5,10,0,3.099908299999697,skip,0
Run_17,01-01-07-02-01-01-03,15,0.5,1.7,5,5,1,0,2.618990200000553,skip,0
Run_18,01-01-07-02-01-01-03,15,0.6,1.7,5,3,5,0,1.6254128999999011,skip,0
Run_19,01-01-07-02-01-01-03,10,0.8,1.7,5,5,5,0,1.2323808000001009,skip,0
Run_20,01-01-07-02-01-01-03,15,0.6,1.7,5,5,1,0,1.2804275999997117,skip,0
Run_21,01-01-07-02-01-01-03,15,0.8,1.7,7,3,3,0,1.3454675999992105,skip,0
Run_22,01-01-07-02-01-01-03,15,0.7,1.5,5,3,1,0,0.967970100000457,skip,0
Run_23,01-01-07-02-01-01-03,10,0.6,1.5,7,5,1,0,1.973701500000061,skip,0
Run_24,01-01-07-02-01-01-03,15,0.7,1.5,7,5,1,0,1.0150777999997445,skip,0
Run_25,01-01-07-02-01-01-03,10,0.5,1.5,5,3,3,0,1.0210993999999118,skip,0
Run_26,01-01-07-02-01-01-03,10,0.5,1.7,5,5,5,0,1.6226859999997032,skip,0
Run_27,01-01-07-02-01-01-03,10,0.3,1.7,5,5,1,0,1.4537860000000364,skip,0
Run_28,01-01-07-02-01-01-03,10,0.9,1.7,5,5,1,0,1.8031644000002416,skip,0
Run_29,01-01-07-02-01-01-03,15,0.1,1.7,7,5,3,0,1.3661966999998185,skip,0
Run_30,01-01-07-02-01-01-03,15,0.8,1.5,7,3,1,0,1.2853297999999995,skip,0
